code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MOHP110,Màn hình HP 22FW (21.5 inch/FHD/LED/IPS/60Hz/5ms/250cd/m²/HDMI+VGA),24 tháng,3549000,2999000,Categories/img/Monitor/250_44045_hp_22fw__4_.png,"- Chủng loại	Màn hình HP 21.5""22FW LED IPS.- Kích Thước Màn Hình	21.5”.- Độ Sáng Màn Hình	250 cd/m².- Tỉ Lệ Tương Phản Động 	Static: 1,000:1; Dynamic:1,000,000:1.- Độ Phân Giải Màn Hình	1920 x 1080  ."
MOAO130,Màn hình AOC 24B1XHS/74 (23.8 inch/FHD/LED/IPS/60hz/7ms),24 tháng,3399000,2749000,Categories/img/Monitor/250_44880_aoc_24b1hs__4_.png,"- Chủng loại	 AOC 23.8""24B1XHS/74 LED IPS.- Kích Thước Màn Hình	23.8''.- Độ Sáng Màn Hình	250 cd/m².- Độ Phân Giải Màn Hình	1920*1080 .- Thời Gian Đáp Ứng	7ms."
MOSA188,Màn hình Samsung LU32R590CWEXXV (31.5 inch/UHD4K/LED/350cd/m²/DP+HDMI+VGA/60Hz/5ms),24 tháng,26190000,13099000,Categories/img/Monitor/250_46379_samsung_lu32r590cwexxv___4_.png,- Loại màn hình: Cong.- Tỉ lệ: 16:9.- Kích thước: 32 inch.- Tấm nền: VA.- Độ phân giải: UHD (3840 x 2160).
MOLG156,Màn hình LG 32GK650F-B (31.5 inch/2k/VA/350cd/m²/DP+HDMI/144Hz/5ms),24 tháng,10999000,8489000,Categories/img/Monitor/250_47524_lg_32_32gk650f__4_.png,- Kích thước	32 inch.- Độ phân giải	2560 x 1440.- Tấm nền  	VA.- Bề mặt hiển thị	Chống lóa 3H.- Tốc độ làm tươi	144Hz.
MOAC085,Màn hình Acer ED322QRP (31.5inch/FHD/VA/144Hz/4ms/250nits/HDMI+VGA+DVI/FreeSync),24 tháng,0,7199000,Categories/img/Monitor/250_51752_mat_tr____c_ed322qrp.jpg,- Tỉ lệ: 16:9.- Kích thước: 31.5 inch.- Tấm nền: Va.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 144Hz.
MOSA204,Màn hình Samsung LS27R350FHEXXV (27 inch/FHD/IPS/75 Hz),24 tháng,4899000,4588000,Categories/img/Monitor/250_51286_samsung_ls27r350fhexxv__4_.png,"- Thiết kế tinh giản, mở rộng không gian giải trí.- Công nghệ AMD Radeon FreeSync™ làm mượt hình ảnh.- Giải trí vượt trội với Chế Độ Game."
MOSA206,Màn hình Samsung Odyssey G7 LC27G75TQSEXXV (26.9 inch/2K/VA/240Hz/1ms/350nits/HDMI+DP+Audio/G-Sync/Cong),24 tháng,28649000,16489000,Categories/img/Monitor/250_53601_samsung_odyssey_g7__8_.png,- Độ cong hoàn mỹ 1000R.- Công nghệ QLED hiển thị chi tiết sắc màu.- Nổi bật khung hình tối với công nghệ HDR600.
MOMS016,"Màn hình MSI Pro MP241 (23,8inch/FHD/IPS/60Hz/7ms/220nits/HDMI+DSub)",24 tháng,3249000,2949000,Categories/img/Monitor/250_54226_mp241__4_.png,- Tỉ lệ: 16:9.- Kích thước: 23.8 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 60Hz.
MOAS173,Màn hình Asus VG279Q1R (27inch/FHD/IPS/144Hz/1ms/250nits/HDMI+DP+Audio/Freesync),24 tháng,7499000,6989000,Categories/img/Monitor/250_54656_vg279q1r__7_.png,- Kích thước: 27 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).- Tốc độ làm mới: 144Hz.- Thời gian đáp ứng: 1ms ( MPRT).
MOHK032,Màn hình HKC M24B6X (23.6inch/FHD/VA/75Hz/25ms/220nits/HDMI+VGA),24 tháng,3069000,2739000,Categories/img/Monitor/250_54909_m24b6x__3_.png,"- Display size	23.6""  Diagonal White LED-Backlight.- Brightness(Typical)	220cd/m2 (Typical).- NTSC	72%.- Contrast(Typical)	3000:1 (Typical)  .- Pixel Pitch	0.2715(H)X0.2715(V)."
MOHK020,Màn hình HKC M24A9X (23.6inch/FHD/VA/75Hz/8ms/250nits/HDMI+VGA),24 tháng,3249000,2799000,Categories/img/Monitor/250_55026_m24a9x__4_.png,"- LED | Panel VA | 23.6"" | 1920 x 1080 | 16:9| 75hz.- Độ sáng: 250 cd/m2 | 3000:1 | 16.7 triệu màu.- T/g đáp ứng: 8ms (GTG).- Độ rộng dải màu có thể hiển thị (NTSC): 72%.- Kết nối: VGA|HDMI."
MOLE069,Màn hình Lenovo Q27Q-10 (27inch/,24 tháng,8039000,6989000,Categories/img/Monitor/250_56550_q27q__4_.png,- Kích thước: 27-inch.- Tấm nền: IPS.- Độ phân giải: QHD (2560x1440).- Tốc độ làm mới: 75 Hz.- Thời gian đáp ứng: 4ms.
MOSA154,Màn hình Samsung LC24F390F (24 inch/FHD/LED/PLS/250cd/m²/HDMI+VGA/60Hz/5ms/Màn hình cong),24 tháng,3499000,3189000,Categories/img/Monitor/250_33516_samsung_c24f390f__4_.png,"- Kích thước màn hình: 24"".- Tấm nền - Panel: VA.- Độ phân giải: 1920 x 1080.- Tốc độ phản hồi: 4ms.- Cổng kết nối: VGA, HDMI."
